name,formername,status,address,city,state,zip,county,accreditedby,statelicenseno,initiallicensedate,licenseeffective,licenseexpire,licenseename,administratorname,source,link,documents,note,date_collected
AURORA BIRTH CENTER,NA,Active,21358 HWY 99E NE,AURORA,OR,997002,MARION,Accredited by the Commission for the Accreditation of Birth Centers,07-1626/ORST0509,NA,NA,2018-12-31T00:00:00Z,NA,Susan Corcoran,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,NA,Jul-18
AUSTIN AREA BIRTHING CENTER INC,NA,Active,2500 WEST WILLIAM CANNON BUILDING 5,AUSTIN,TX,78745,TRAVIS,Accredited by the Commission for the Accreditation of Birth Centers,150007,2010-08-13T00:00:00Z,NA,2018-08-31T00:00:00Z,NA,Rebecca Taylor,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046597-AustinAreaBirthingCenter2.html,NA,Jun-18
AUSTIN AREA BIRTHING CENTER INC,NA,Active,4100 DUVAL ROAD BLDG 2 SUITE 101,AUSTIN,TX,78759,TRAVIS,Accredited by the Commission for the Accreditation of Birth Centers,7196,1989-08-29T00:00:00Z,NA,2019-08-31T00:00:00Z,NA,Rebecca Taylor,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046596-AustinAreaBirthingCenter1.html,NA,Jun-18
AUTHENTIC BIRTH CENTER,NA,Active,530 NORTH 108TH PLACE SUITE 100,WAUWATOSA,WI,53226,NA,NA,NA,NA,NA,NA,NA,NA,Authentic Birth Center,http://www.authenticbirthcenter.com/lanette-mcquitty-midwife,NA,NA,Oct-18
BABIES IN BLOOM BIRTH AND WELLNESS CENTER,NA,Active,1948 VIA CENTRE,VISTA,CA,NA,SAN DIEGO,Accredited by the Commission for the Accreditation of Birth Centers,550002874,2014-10-20T00:00:00Z,2017-10-20T00:00:00Z,2018-10-19T00:00:00Z,NA,Rochelle McLean,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
BABY AND COMPANY CARY,NA,Active,226 ASHEVILLE AVENUE,CARY,NC,25518,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Baby and Company,http://www.babyandcompany.com/,NA,NA,Jun-18
BABY AND COMPANY CHARLOTTE,NA,Active,131 PROVIDENCE RD,CHARLOTTE,NC,28207,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Baby and Company,http://www.babyandcompany.com/,NA,NA,Jun-18
"BABY AND COMPANY NASHVILLE 1, LLC",NA,Active,3212 WEST END AVENUE SUITE 100,NASHVILLE,TN,37203,NA,Accredited by the Commission for the Accreditation of Birth Centers,8,2015-08-28T00:00:00Z,NA,2018-08-27T00:00:00Z,"Baby + Company Nashville 1, LLC",Beth Chester,Tennessee Department of Health,https://apps.health.tn.gov/facilityListings/,NA,NA,Oct-18
BABY AND COMPANY WINSTON-SALEM,NA,Active,200 CHARLOIS BOULEVARD,WINSTON-SALEM,NC,27103,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Baby and Company,http://www.babyandcompany.com/,NA,NA,Jun-18
BABY BLISS BIRTHING SERVICES,NA,Active,602 SOUTH TRADE DAYS,CANTON,TX,75103,VAN ZANDT,NA,150025,2012-11-07T00:00:00Z,NA,2018-11-30T00:00:00Z,NA,Vickie Greenhaw,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
BABY BUDDIES BIRTH CENTER,NA,Active,"1908 N. BEALE ROAD, SUITE C",MARYSVILLE,CA,NA,YUBA,NA,550001609,2011-04-20T00:00:00Z,2018-05-01T00:00:00Z,2019-04-30T00:00:00Z,Harmony Health Medical Clinic and Family Resource Center,Rachel Farrell,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
"BABYMOON INN, LLC",NA,Active,215 EAST LEXINGTON AVENUE,PHOENIX,AZ,NA,MARICOPA,Accredited by the Commission for the Accreditation of Birth Centers,OTC4889,NA,2018-07-01T00:00:00Z,2019-06-30T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,NA,NA,Oct-18
BAY AREA COMMUNITY BIRTH CENTER,NA,Active,3210 STRAWBERRY ROAD SUITE B,PASADENA,TX,77504,HARRIS,Accredited by the Commission for the Accreditation of Birth Centers,150069,2018-03-26T00:00:00Z,NA,2020-03-31T00:00:00Z,NA,Stephanie F Palacio,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046598-BayAreaCommunityBirthCenter-TX.html,NA,Jun-18
BAY AREA MIDWIFERY,SACRED BIRTH PLACE,Active,2800 PARK BOULEVARD,OAKLAND,CA,94610,NA,NA,NO DATA,NA,NA,NA,NA,NA,Bay Area Midwifery,https://bayareamidwifery.org/,NO DATA,NA,Jun-18
BAY AREA MIDWIFERY CENTER,NA,Active,"2003 MEDICAL PARKWAY, SUITE G50",ANNAPOLIS,MD,21012,Anne Arundel,Accredited by the Commission for the Accreditation of Birth Centers,NA,2015-07-08T00:00:00Z,2018-07-01T00:00:00Z,NA,NA,Jennifer Caniglio,Maryland Department of Health,https://health.maryland.gov/ohcq/Pages/Licensee-Directory.aspx,https://www.documentcloud.org/documents/5046732-BAYAREAMIDWIFERYCENTER.html,NA,Jul-18
BEACHSIDE BIRTH CENTER,NA,Active,1353 OLD TEMESCAL ROAD,CORONA,CA,92881,RIVERSIDE,Accredited by the Commission for the Accreditation of Birth Centers,550003679,2016-10-04T00:00:00Z,2017-10-04T00:00:00Z,2018-10-03T00:00:00Z,NA,NA,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
BEACHSIDE BIRTH CENTER,NA,Active,"23141 MOULTON PARKWAY, SUITE 108",LAGUNA HILLS,CA,NA,ORANGE,Accredited by the Commission for the Accreditation of Birth Centers,550001884,2011-12-20T00:00:00Z,2017-12-20T00:00:00Z,2018-12-19T00:00:00Z,BEACH CITIES MIDWIFERY & WOMEN'S HEALTH CARE,Christopher Snell,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
BEACHSIDE BIRTH CENTER-LONG BEACH,NA,Active,1224 E WARDLOW ROAD,LONG BEACH,CA,NA,LOS ANGELES,Accredited by the Commission for the Accreditation of Birth Centers,550002843,2014-10-10T00:00:00Z,2017-10-10T00:00:00Z,2018-10-09T00:00:00Z,BEACH CITIES MIDWIFERY & WOMEN'S HEALTH CARE,BETTY SNELL,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
BEAUTIFUL BEGINNING BIRTH & WELLNESS CENTER,NA,Active,305 HEATHERWILDE BLVD SUITE 140,PFLUGERVILLE,TX,78660,TRAVIS,NA,150027,2012-12-03T00:00:00Z,NA,2018-12-31T00:00:00Z,NA,Emma Morrison,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
BEAUTIFUL BEGINNINGS MIDWIFERY & BIRTH CENTER,NA,Active,3150 N WICKHAM ROAD SUITE 1,MELBOURNE,FL,NA,Brevard,NA,362,NA,2017-11-30T00:00:00Z,2019-11-29T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
BEAUTIFUL BIRTH MATERNITY CLINIC,NA,Active,512 SOUTH 12TH STREET SUITE A,MCALLEN,TX,78501,HIDALGO,NA,150014,2011-02-08T00:00:00Z,NA,2019-02-28T00:00:00Z,NA,Anna Ochoa,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046599-BeautifulBirthMaternityCenter-TX.html,NA,Jun-18
BEAUTIFUL MOUNTAIN BIRTH SUITES,NA,Active,826 E 12300 S STE 2,DRAPER,UT,84020,NA,NA,NA,NA,NA,NA,NA,NA,Utah Department of Health,NA,NA,NA,Jul-18
BEAUTIFUL MOUNTAIN BIRTH SUTES,NA,Active,7611 JORDAN LANDING BOULEVARD #120,WEST JORDAN,UT,84085,NA,NA,NA,NA,NA,NA,NA,NA,Utah Department of Health,NA,NA,NA,Jul-18
BEGINNINGS BIRTH CENTER,NA,Active,"9475 BRIAR VILLAGE POINT, SUITE 100",COLORADO SPRINGS,CO,80920,NA,In process of accreditation by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,Beginnings Birth Center,http://beginningsbirthcenter.com/,NO DATA,NA,May-18
BELLA BIRTHS CENTER FOR BIRTH & WOMENS HEALTH,NA,Active,2417 VIRGINIA PARKWAY,MCKINNEY,TX,75071,COLLIN,NA,150017,2011-05-09T00:00:00Z,NA,2019-05-31T00:00:00Z,NA,Kathleen Mayorga,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046600-BellaBirths-TX.html,NA,Jun-18
BELLA VIE GENTLE BIRTH CENTER,NA,Active,"13160 JERUSALEM HILL ROAD, NW",SALEM,OR,97304,YAMHILL,Accredited by the Commission for the Accreditation of Birth Centers,07-1587/ORST0182,NA,NA,2018-12-31T00:00:00Z,NA,Petra Prostrednik,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,https://www.documentcloud.org/documents/5032790-BellaVieGentleBirthCenter-OR.html,NA,Jul-18
BELLINGHAM BIRTH CENTER,NA,Active,2430 CORNWALL AVENUE,BELLINGHAM,WA,98225,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.00000026,NA,NA,2018-07-31T00:00:00Z,Bellingham Birth Center Inc.,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
BEND BIRTH CENTER,NA,Active,61533 PARRELL ROAD,BEND,OR,97702,DESCHUTES,NA,07-1589/ORST0192,NA,NA,2018-12-31T00:00:00Z,NA,Janette Gyesky,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,https://www.documentcloud.org/documents/5032791-BendBirthCenter-OR.html,NA,Jul-18
"BEST START BIRTH CENTER, INC",NA,Active,3630 ENTERPRISE STREET,SAN DIEGO,CA,NA,SAN DIEGO,Accredited by the Commission for the Accreditation of Birth Centers,90000446,1993-08-04T00:00:00Z,2017-11-04T00:00:00Z,2018-11-03T00:00:00Z,NA,Karen Roslie,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,https://www.documentcloud.org/documents/5046660-Best-Start-CA.html,NA,Jun-18
BETTER BIRTH,"BIRTHWISE MATERNITY CARE, LC",Unknown,360 S FORT LN,LAYTON,UT,84041,DAVIS,NA,NO DATA,NA,NA,NA,NA,NA,Wayback Machine,http://web.archive.org/web/20180127014053/http://www.betterbirth.com:80/contact.html,NO DATA,NA,Jul-18
BIRTH AND BEYOND P.A.,NA,Active,1326 SR 100,GRANDIN,FL,NA,Putnam,NA,309,NA,2017-02-13T00:00:00Z,2019-02-12T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032731-Birth-and-Beyond-FL.html,NA,Apr-18
BIRTH AND WELLNESS CENTER,NA,Active,769 W TERRA LANE,O'FALLON,MO,63366,St. Charles,Accredited by the Commission for the Accreditation of Birth Centers,B004,NA,NA,NA,NA,Jessica Henman,Missouri Department of Health and Senior Services,https://health.mo.gov/safety/asc/pdf/ListofBirthingCenters.pdf,https://www.documentcloud.org/documents/5046675-BIRTHANDWELLNESSCENTER-MO.html,NA,Jul-18
BIRTH AND WELLNESS CENTER OF GAINESVILLE,NA,Active,607 E UNIVERSITY AVENUE,GAINESVILLE,FL,NA,Alachua,NA,335,NA,2017-10-10T00:00:00Z,2019-10-09T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032732-Birth-amp-Wellness-FL.html,NA,Apr-18
BIRTH AND WOMEN'S HEALTH CENTER,NA,Active,"5979 EAST GRANT ROAD, SUITE 107",TUCSON,AZ,NA,PIMA,Accredited by the Commission for the Accreditation of Birth Centers,OTC5028,NA,2018-02-01T00:00:00Z,2019-01-31T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,NA,Part of a clinic/healthcare system,Oct-18
BIRTH AND WOMEN'S HEALTH CENTER,NA,Active,2913 EAST RED ROCK ROAD,YODER,KS,67585,Reno,NA,R078001,NA,NA,NA,NA,Lois Yoder,Kansas Department for Aging and Disability Services,http://www.kdheks.gov/bhfr/fac_list/index.html,https://www.documentcloud.org/documents/5032766-BIRTHANDWOMENSHEALTHCENTERYODER-KS.html,NA,Jun-18
BIRTH CARE AND FAMILY HEALTH SERVICES,NA,Active,1138 GEORGETOWN ROAD,CHRISTIANA,PA,17509,NA,Accredited by the Commission for the Accreditation of Birth Centers,96023300,NA,NA,NA,NA,NA,Pennsylvania Department of Health Health Care Facilities,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/CommonPOCSelect.asp?formSubmitted=normalformSearch,https://www.documentcloud.org/documents/5032800-BIRTHCAREANDFAMILYHEALTHSERVICES-PA.html,NA,Oct-18
BIRTH CENTER OF BATON ROUGE,NA,Active,7941 PICARDY AVENUE,BATON ROUGE,LA,70809,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Birth Center of Baton Rouge,http://birthcenterbr.com/contact,NA,NA,Jun-18
BIRTH CENTER OF NORTHWEST ARKANSAS,NA,Active,"5302 VILLAGE PARKWAY, SUITE 3",ROGERS,AR,72758,NA,Accredited by the Commission for the Accreditation of Birth Centers,FSBC00002,NA,NA,2018-12-31T00:00:00Z,NA,NA,Arkansas Department of Health,NA,https://www.documentcloud.org/documents/5032757-BIRTHCENTEROFNORTHWESTARKANSAS.html,NA,May-18
BIRTH CENTER STONE OAK,NA,Active,"21708 HARDY OAK BLVD, SUITE 102",SAN ANTONIO,TX,78258,BEXAR,NA,150024,2012-06-05T00:00:00Z,NA,2018-06-30T00:00:00Z,NA,Robert Brock,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
BIRTH HAVEN,NA,Active,1529 LOCKNEY ST,AMARILLO,TX,79106,POTTER,NA,150065,2018-01-29T00:00:00Z,NA,2020-01-31T00:00:00Z,NA,Esparaza Silvia,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
BIRTH PLACE,NA,Active,820 NORTH WALLACE SUITE A,BOZEMAN,MT,59715,NA,NA,NO DATA,NA,NA,NA,NA,NA,Birth Place Bozeman,http://www.birthplacebozeman.com/index.html,NO DATA,NA,Jul-18
BIRTH ROOTS WOMEN'S HEALTH AND MATERNITY CENTER,NA,Active,1686 BROWADWAY,CHULA VISTA,CA,91911,NA,NA,NO DATA,NA,NA,NA,NA,NA,Birth Roots Women's Health and Maternity Center,http://birthrootsbabies.com/contact-a-midwife/,NO DATA,NA,Jun-18
BIRTH SUITE IN OLD TOWN,NA,Active,778 COLLEGE AVENUE,OLD TOWN,ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clear Light Holistic Health,http://www.clearlightholistic.com/birth-suite.html,NA,NA,Jun-18
BIRTHCARE AND WOMEN'S HEALTH,NA,Active,1501 KING STREET,ALEXANDRIA,VA,22314,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Birth Care & Women's Health,http://www.birthcare.org/,NA,NA,Jun-18
BIRTHING CENTER BUFFALO,NA,Active,2500 MAIN STREET,BUFALO,NY,14214,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,Birthing Center of Buffalo,https://birthingcenterofbuffalo.com/,NO DATA,NA,Jun-18
BIRTHING CENTER OF CHARLOTTESVILLE,THE BIRTHING PLACE,Active,182 SPOTNAP ROAD,CHARLOTTESVILLE,VA,22911,NA,NA,NA,NA,NA,NA,NA,NA,Google,"https://www.google.com/search?ei=XBjZW9qxCsvIsQX3vabADw&q=birth%20center%20of%20charlottesville&oq=birth+center+of+charlottesville+&gs_l=psy-ab.3..35i39j0i22i30.2463.2769..3000...0.0..0.129.209.1j1......0....1..gws-wiz.HWNNrW5zTpE&npsic=0&rflfq=1&rlha=0&rllag=38034127,-78453907,294&tbm=lcl&rldimm=15714110165309121693&ved=2ahUKEwjSx6D01a_eAhUSLK0KHUWsBmsQvS4wAHoECAYQGQ&rldoc=1&tbs=lrf:!2m1!1e2!2m1!1e16!3sIAE,lf:1,lf_ui:2#rlfi=hd:;si:15714110165309121693;mv:!3m12!1m3!1d2847.941371880931!2d-78.45390785!3d38.034127149999996!2m3!1f0!2f0!3f0!3m2!1i31!2i174!4f13.1;tbs:lrf:!2m1!1e2!2m1!1e16!3sIAE,lf:1,lf_ui:2",NA,NA,Jun-18
BIRTHING CENTER OF NEW YORK,NA,Active,6702 3RD AVENUE,BROOKLYN,NY,11209,NA,NA,NO DATA,NA,NA,NA,NA,NA,Birthing Center of New York,nybirthingcenter.com,NO DATA,NA,Jun-18
BIRTHING SWEET,NA,Active,9036 N MONTERREY DR,ALVARADO,TX,76009,JOHNSON,NA,150064,2017-12-27T00:00:00Z,NA,2019-12-31T00:00:00Z,NA,Mollie Miller,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
BIRTHING YOUR WAY,THE COTTAGE NATURAL HEALTH CENTER,Active,394 WEST MAIN STREET,LEHI,UT,84043,UTAH,NA,NA,NA,NA,NA,NA,NA,Utah Department of Health,NA,NA,NA,Jul-18
BIRTHJOURNEY MIDWIFERY AND BIRTH CENTER,NA,Active,5107 SOUTH 900 EAST SUITE 140,MURRAY,UT,84117,SALT LAKE,NA,2018-BC-UT000845,NA,NA,2018-09-19T00:00:00Z,NA,Melissa Mayo,Utah Health Facility Licensing,http://health.utah.gov/hflcra/facinfo.php,NA,NA,Jul-18
BIRTHRIGHT MIDWIFERY SERVICES,NA,Active,1073 PLEASANT SHADE DRIVE,EMPORIA,VA,23847,NA,NA,NA,NA,NA,NA,NA,NA,Local.com,https://www.local.com/business/details/emporia-va/birthright-midwifery-services-122638271,NA,NA,Jun-18
BIRTHROOT MIDWIVES AND BIRTH CENTER,NA,Active,1600 BROADWAY STREET,BELLINGHAM,WA,98225,NA,NA,CBC.FS.60469804,NA,NA,2019-06-19T00:00:00Z,Birthroot Midwives and Birth Center LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
BIRTHWAYS FAMILY BIRTH CENTER,NA,Active,4222 MCINTOSH LANE,SARASOTA,FL,NA,Sarasota,NA,339,NA,2017-12-20T00:00:00Z,2019-12-19T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032733-Birthways-FL.html,NA,Apr-18
BIRTHWISE BIRTH AND FAMILY CENTER,NA,Active,1709 RIO GRANDE,AUSTIN,TX,78701,TRAVIS,NA,8354,2006-04-19T00:00:00Z,NA,2020-04-30T00:00:00Z,NA,April Bullock,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
BIRTHWISE HEALTH AND BIRTH CENTER,NA,Active,1230 W COLLEGE AVENUE SUITE C,APPLETON,WI,54914,NA,NA,NA,NA,NA,NA,NA,NA,Wayback Machine,https://web.archive.org/web/20180331083228/http://www.wisconsinbirthcenter.com/,NA,NA,Oct-18
BIRTHWISE MIDWIFERY SERVICES,NA,Active,28 SOUTH HIGH STREET,BRIDGTON,ME,4009,NA,NA,NA,NA,NA,NA,NA,NA,Birthwise Midwifery Services,http://birthwisemidwiferyservice.com/the-birth-house/,NA,NA,Jun-18
